Restaurant,Reviewer,review,stars,Metadata,Time,Pictures,7514,food,service,hygiene,ambiance,price
Beyond Flavours,Rusha Chakraborty,"The ambience was good, food was quite good . had Saturday lunch , which was cost effective .
Good place for a sate brunch. One can also chill with friends and or parents.
Waiter Soumen Das was really courteous and helpful.",5,"1 Review , 2 Followers",5/25/2019 15:54,0,2447,1,1,0,1,1
Beyond Flavours,Anusha Tirumalaneedi,Ambience is too good for a pleasant evening. Service is very prompt. Food is good. Over all a good experience. Soumen Das - kudos to the service,5,"3 Reviews , 2 Followers",5/25/2019 14:20,0,,1,1,0,1,0
Beyond Flavours,Ashok Shekhawat,A must try.. great food great ambience. Thnx for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta:) ....... Also the music in the background is amazing.,5,"2 Reviews , 3 Followers",5/24/2019 22:54,0,,1,1,0,1,0
Beyond Flavours,Swapnil Sarkar,"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.",5,"1 Review , 1 Follower",5/24/2019 22:11,0,,1,1,0,0,0
Beyond Flavours,Dileep,Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,5,"3 Reviews , 2 Followers",5/24/2019 21:37,0,,1,1,0,1,0
Beyond Flavours,Nagabhavani K,"Ambiance is good, service is good, food is aPradeecp and subro best service
Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",5,1 Review,5/24/2019 15:22,0,,1,1,0,1,0
Beyond Flavours,Jamuna Bhuwalka,"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",5,1 Review,5/24/2019 1:02,0,,1,1,0,1,1
Beyond Flavours,Sandhya S,Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,4,1 Review,5/23/2019 15:01,0,,1,1,0,1,0
Beyond Flavours,Akash Thorat,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",5,"1 Review , 1 Follower",5/22/2019 23:12,0,,1,1,0,0,0
Beyond Flavours,Smarak Patnaik,"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.",5,"1 Review , 1 Follower",5/22/2019 22:37,0,,1,1,0,1,0
Beyond Flavours,Saubhagya Bhuyan,The service was great and the food was awesome. The service staff Manab and Papiya were very courteous and attentive. I would like to come frequently to this place,5,"1 Review , 1 Follower",5/22/2019 22:22,0,,1,1,0,0,0
Beyond Flavours,Srivaths07,"Very good ambience, amazing food ,good service and friendly staff - Pradeep, Papiya and Shuvro :) will definitely visit again! And loved the design of their menu card.",5,"3 Reviews , 1 Follower",5/22/2019 21:43,0,,1,1,0,1,0
Beyond Flavours,Kunj Mishra,Food was very good. Soup was as expected. In starters we ordered honey chilli lotus stem and that is a must try for vegan ppl. Service was great. Frequent visits from Papiya to know our experience and also about the food was really impressive.,5,"1 Review , 1 Follower",5/22/2019 21:29,0,,1,1,0,0,0
Beyond Flavours,Pradeep Vetapalem,Food is too good. Telangana kodiak fry is must try.Mutton biriyani is too good.Papiya helped to choose best dishes and attended very well.Must visit.,5,"2 Reviews , 25 Followers",5/22/2019 21:21,0,,1,1,0,0,0
Beyond Flavours,Kankaria.ritu,"We ordered corn cheese balls, manchow soup and paneer shashlik sizzler. The sizzler was stale. Paneer was smelling and the waiter was so impolite to even accept the mistake. Never going again",1,1 Review,5/22/2019 21:19,0,,1,1,0,0,0
